id;dc:identifier;dc:title;webct:descripcion;webct:masinfo;geo:long;geo:lat;webct:foto;webct:mapa
https://www.cartagena.es/api/callejero/csv.asp?cat=41_1573;1573;OMITA Los Belones;Plaza La Iglesia<br /> 30385 Rincon de San Gines, Los Belones<br /> Tlfno: 968 137 750<br /> E-mail: losbelones@ayto-cartagena.es;http://www.cartagena.es/omitas;-0.776291399999991;376.226.974;;https://www.cartagena.es/callejero/verpunto.asp?id=1573
https://www.cartagena.es/api/callejero/csv.asp?cat=41_1548;1548;Espacio de Ocio  de Pozo Estrecho;Avenida de la Fuente, 40<br /> 30394 Pozo Estrecho<br /> Tlfno: 968 128 826<br /> E-mail: prevencion1.ssociales@ayto-cartagena.es;https://www.cartagena.es/edificiosMunicipales_detalle.asp?id=102&texto=;-0.9968153153117782;3.771.160.490.082.130;;https://www.cartagena.es/callejero/verpunto.asp?id=1548
https://www.cartagena.es/api/callejero/csv.asp?cat=41_1549;1549;Escuela de Educación  Infantil Vista Alegre;C/ Miguel de Cervantes, s/n<br /> 30392 Alumbres, Vista Alegre<br /> Tlfno: 968 529 630;https://www.cartagena.es/edificiosMunicipales_detalle.asp?id=88&texto=;-0.9431515999999647;376.076.968;;https://www.cartagena.es/callejero/verpunto.asp?id=1549
https://www.cartagena.es/api/callejero/csv.asp?cat=41_1551;1551;IMSEL Isla Plana;"Ctra La Azoh&iacute;a km 4,5<br /> 30868 Los Puertos, Isla Plana<br /> Tlfno: 968 152 152<br /> E-mail: serviplana1@terra.es";https://www.cartagena.es/edificiosMunicipales_detalle.asp?id=157&texto=;-11.966.809.602.909.000;3.757.755.203.035.540;;https://www.cartagena.es/callejero/verpunto.asp?id=1551
https://www.cartagena.es/api/callejero/csv.asp?cat=41_1592;1592;Pabellón Urban;C/ Sor Francisco Armendariz, s/n<br /> 30202 Cartagena<br /> Tlfno: 968 523 697;https://www.cartagena.es/edificiosMunicipales_detalle.asp?id=77&texto=;-0.9810608000000229;376.052.946;;https://www.cartagena.es/callejero/verpunto.asp?id=1592
https://www.cartagena.es/api/callejero/csv.asp?cat=41_1567;1567;OMITA La Manga;"Gran V&iacute;a, s/n, Km. 1, Pza. de Europa, Edif.<br /> 30380 Rincon de San Gin&eacute;s, La Manga del Mar Menor<br /> Tlfno: 968 564 951<br /> E-mail: LaManga@ayto-cartagena.es";http://www.cartagena.es/omitas;-0.7204750521540291;37.655.194.454.790.000;;https://www.cartagena.es/callejero/verpunto.asp?id=1567
https://www.cartagena.es/api/callejero/csv.asp?cat=41_1578;1578;Pabellón Cabezo Beaza;Avda. Luxemburgo, s/n<br /> 30353 Cartagena<br /> Tlfno: 968 128 900;https://www.cartagena.es/edificiosMunicipales_detalle.asp?id=141&texto=;-0.9556993338558186;3.761.786.293.441.480;;https://www.cartagena.es/callejero/verpunto.asp?id=1578
https://www.cartagena.es/api/callejero/csv.asp?cat=41_1579;1579;Pabellón Canteras;"Plaza Pico Roldan, s/n<br /> 30394 Canteras<br /> Tlfno: 968 162 628<br /> &nbsp;";https://www.cartagena.es/edificiosMunicipales_detalle.asp?id=62&texto=;-10.427.346.200.073.000;3.761.111.529.672.260;;https://www.cartagena.es/callejero/verpunto.asp?id=1579
https://www.cartagena.es/api/callejero/csv.asp?cat=41_1590;1590;Pabellón Virgen del Carmen;C/ Doctor Perez Espejo, s/n<br /> 30203 Cartagena<br /> Tlfno: 968 312 912;https://www.cartagena.es/edificiosMunicipales_detalle.asp?id=78&texto=;-0.978053237803806;3.760.762.557.879.110;;https://www.cartagena.es/callejero/verpunto.asp?id=1590
https://www.cartagena.es/api/callejero/csv.asp?cat=41_1593;1593;P.A.I. La Puebla;"Gestionado por: Concepci&oacute;n Montoya L&oacute;pez<br /> C/ Ge&oacute;grafo<br /> 30395 Lentiscar, La Puebla<br /> Tlfno: 652 668 621<br /> E-mail: escuelainfantilyogui@hotmail.es";https://www.cartagena.es/edificiosMunicipales_detalle.asp?id=149&texto=;-0.9215791999999965;377.197.977;;https://www.cartagena.es/callejero/verpunto.asp?id=1593
